'Communes';'Codes_Insee';'NB_Allocataires';'ALL_PAJE';'ALL_PRIM';'ALL_BASEP';'ALL_CMG';'ALL_CMG_ASMA';'ALL_CMG_DOM';'ALL_CMG_A';'ALL_Clca_Colca'
CARQUEIRANNE;83034;1176;163;;140;43;34;5;;36
LE CASTELLET;83035;659;143;;119;46;39;5;;28
CAVALAIRE-SUR-MER;83036;974;160;6;147;13;;;;26
LA CELLE;83037;182;46;;;7;;;;16
CHATEAUDOUBLE;83038;63;8;;;;;;;
CHATEAUVERT;83039;9;;;;;;;;
CHATEAUVIEUX;83040;9;;;;;;;;
CLAVIERS;83041;100;17;;;6;;;;
COGOLIN;83042;1819;351;8;329;47;;;;61
COLLOBRIERES;83043;289;46;;;;;;;18
COMPS-SUR-ARTUBY;83044;45;6;;;;;;;
CORRENS;83045;134;15;;;;;;;
COTIGNAC;83046;317;24;;;;;;;7
LA CRAU;83047;2413;430;;368;136;116;;16;105
LA CROIX-VALMER;83048;460;81;;75;12;;;;17
CUERS;83049;1928;434;10;366;147;125;13;;88
DRAGUIGNAN;83050;7463;1473;27;1352;325;273;;39;284
ENTRECASTEAUX;83051;146;23;;;8;;;;7
ESPARRON;83052;55;10;;;;;;;
EVENOS;83053;279;62;;46;28;21;;;12
LA FARLEDE;83054;1124;196;5;163;52;43;;9;36
FAYENCE;83055;803;163;5;145;40;;;;37
FIGANIERES;83056;346;59;;53;15;;;;21
FLASSANS-SUR-ISSOLE;83057;519;110;;101;30;;;;29
FLAYOSC;83058;584;98;;;32;;;;25
FORCALQUEIRET;83059;416;94;;77;27;;;;28
FOX-AMPHOUX;83060;64;5;;;;;;;
FREJUS;83061;8809;1702;40;1577;250;207;;25;366
LA GARDE;83062;5429;684;12;607;140;97;;32;155
LA GARDE-FREINET;83063;263;46;;;13;;;;6
GAREOULT;83064;665;99;;88;22;;;;26
GASSIN;83065;269;52;;;7;;;;5
GINASSERVIS;83066;265;56;;42;24;;;;19
GONFARON;83067;820;145;;131;32;;;;29
GRIMAUD;83068;608;96;;84;18;;;;20
HYERES;83069;9273;1370;32;1225;292;241;;32;273
LE LAVANDOU;83070;851;112;;;7;;;;22
LA LONDE-LES-MAURES;83071;1149;167;6;147;30;;;;34
LORGUES;83072;1347;199;;178;42;36;;5;49
LE LUC;83073;2099;378;6;350;77;68;;7;92
LA MARTRE;83074;18;;;;;;;;
LES MAYONS;83075;81;14;;;6;;;;
MAZAUGUES;83076;134;35;;;10;;;;9
MEOUNES-LES-MONTRIEUX;83077;321;59;;52;13;;;;19
MOISSAC-BELLEVUE;83078;34;;;;;;;;
LA MOLE;83079;183;44;;37;17;;;;14
MONS;83080;86;14;;;;;;;
MONTAUROUX;83081;872;172;;147;48;;;;53
MONTFERRAT;83082;161;31;;;;;;;13
MONTFORT-SUR-ARGENS;83083;213;41;;;17;;;;18
MONTMEYAN;83084;76;14;;;;;;;
LA MOTTE;83085;386;83;;72;30;;;;26
LE MUY;83086;1499;268;11;244;50;43;;6;55
NANS-LES-PINS;83087;569;114;;97;25;19;;;29
NEOULES;83088;386;59;;54;11;;;;18
OLLIERES;83089;66;15;;;5;;;;
OLLIOULES;83090;2248;351;9;303;95;83;;11;85
PIERREFEU-DU-VAR;83091;873;160;;136;42;34;;;34
PIGNANS;83092;722;171;5;155;46;;;;43
PLAN-D'AUPS-SAINTE-BAUME;83093;293;66;;56;23;;;;17
LE PLAN-DE-LA-TOUR;83094;417;76;;69;23;;;;14
PONTEVES;83095;86;10;;;;;;;5
POURCIEUX;83096;227;74;;64;21;;;;21
POURRIERES;83097;720;171;;142;52;46;;;52
LE PRADET;83098;1510;224;;203;52;41;;6;43
PUGET-SUR-ARGENS;83099;1237;247;5;222;52;43;5;;49
PUGET-VILLE;83100;678;155;;136;48;;;;43
RAMATUELLE;83101;206;31;;;;;;;6
REGUSSE;83102;274;49;;;7;;;;20
LE REVEST-LES-EAUX;83103;457;70;;56;29;24;;;16
RIANS;83104;657;121;;102;46;;;;24
RIBOUX;83105;6;;;;;;;;
ROCBARON;83106;675;167;5;146;57;50;;;49
ROQUEBRUNE-SUR-ARGENS;83107;1982;432;6;372;114;87;;22;104
LA ROQUEBRUSSANNE;83108;429;94;;83;27;;;;21
LA ROQUE-ESCLAPON;83109;27;6;;;;;;;
ROUGIERS;83110;256;51;;45;8;;;;11
SAINTE-ANASTASIE-SUR-ISSOLE;83111;254;45;;38;10;;;;12
SAINT-CYR-SUR-MER;83112;1648;253;;192;90;83;;;60
SAINT-JULIEN;83113;376;79;;72;21;;;;30
SAINT-MARTIN-DE-PALLIERES;83114;34;;;;;;;;
SAINTE-MAXIME;83115;1984;316;11;291;45;;;;73
SAINT-MAXIMIN-LA-SAINTE-BAUME;83116;2672;522;16;425;173;152;13;;116
SAINT-PAUL-EN-FORET;83117;219;27;;;8;;;;7
SAINT-RAPHAEL;83118;5007;757;13;683;151;103;;39;154
SAINT-TROPEZ;83119;518;70;;63;9;;;;9
SAINT-ZACHARIE;83120;806;165;;150;55;;;;48
SALERNES;83121;745;125;6;112;34;;;;27
LES SALLES-SUR-VERDON;83122;38;5;;;;;;;
SANARY-SUR-MER;83123;2361;281;;238;89;66;;15;57
SEILLANS;83124;367;74;;67;16;;;;16
SEILLONS-SOURCE-D'ARGENS;83125;357;66;;57;20;;;;18
LA SEYNE-SUR-MER;83126;13385;2365;56;2130;514;375;22;122;448
SIGNES;83127;490;94;;84;23;;;;29
SILLANS-LA-CASCADE;83128;93;18;;;;;;;6
SIX-FOURS-LES-PLAGES;83129;5258;801;21;691;226;169;;44;184
SOLLIES-PONT;83130;1974;353;15;302;88;76;;10;79
SOLLIES-TOUCAS;83131;818;157;;132;54;48;;;37
SOLLIES-VILLE;83132;277;52;;;15;;;;14
TANNERON;83133;174;47;;40;22;;;;12
TARADEAU;83134;216;46;;38;19;;;;9
TAVERNES;83135;210;31;;;5;;;;8
LE THORONET;83136;320;57;;47;24;;;;15
TOULON;83137;36762;5611;139;5046;1073;832;60;186;1008
TOURRETTES;83138;394;79;;66;34;28;;6;21
TOURTOUR;83139;70;8;;;;;;;
TOURVES;83140;842;168;;147;54;;;;52
TRANS-EN-PROVENCE;83141;788;140;;125;40;;;;37
TRIGANCE;83142;26;;;;;;;;
LE VAL;83143;649;107;;92;34;;;;23
LA VALETTE-DU-VAR;83144;3720;656;24;588;154;123;;24;144
VARAGES;83145;214;32;;;6;;;;6
LA VERDIERE;83146;201;34;;27;11;;;;8
VERIGNON;83147;;;;;;;;;
VIDAUBAN;83148;1796;351;8;323;110;100;5;;85
VILLECROZE;83149;209;30;;;;;;;6
VINON-SUR-VERDON;83150;650;135;;112;51;;;;36
VINS-SUR-CARAMY;83151;154;34;;27;10;;;;9
RAYOL-CANADEL-SUR-MER;83152;68;10;;;;;;;
SAINT-MANDRIER-SUR-MER;83153;806;115;;102;23;17;;;28
SAINT-ANTONIN-DU-VAR;83154;78;11;;;5;;;;
ALTHEN-DES-PALUDS;84001;417;103;;82;43;;;;29
ANSOUIS;84002;116;20;;;;;;;5
APT;84003;2299;369;7;349;75;69;6;;82
AUBIGNAN;84004;822;196;;176;67;48;;17;48
AUREL;84005;20;;;;;;;;
AURIBEAU;84006;9;;;;;;;;
AVIGNON;84007;24847;3927;106;3639;510;370;26;120;736
LE BARROUX;84008;68;17;;12;10;;;;
LA BASTIDE-DES-JOURDANS;84009;230;58;;50;8;;;;24
LA BASTIDONNE;84010;84;17;;;7;;;;
LE BEAUCET;84011;53;8;;;;;;;
BEAUMES-DE-VENISE;84012;364;67;;60;27;;;;8
BEAUMETTES;84013;27;11;;;5;;;;
BEAUMONT-DE-PERTUIS;84014;161;35;;;8;;;;12
BEAUMONT-DU-VENTOUX;84015;32;8;;;;;;;
BEDARRIDES;84016;789;129;;120;33;28;;;22
BEDOIN;84017;407;56;;;15;;;;8
BLAUVAC;84018;60;16;;;;;;;6
BOLLENE;84019;2564;512;15;462;109;104;;;115
BONNIEUX;84020;173;27;;;10;;;;5
BRANTES;84021;8;;;;;;;;
BUISSON;84022;35;5;;;;;;;
BUOUX;84023;11;;;;;;;;
CABRIERES-D'AIGUES;84024;128;33;;28;20;;;;10
CABRIERES-D'AVIGNON;84025;224;46;;40;13;;;;9
CADENET;84026;664;115;;98;27;;;;37
CADEROUSSE;84027;377;89;;79;21;;;;24
CAIRANNE;84028;116;36;;;17;;;;9
CAMARET-SUR-AIGUES;84029;680;154;;131;49;;;;42
CAROMB;84030;472;104;;94;41;34;;6;31
CARPENTRAS;84031;5972;1092;31;1002;191;168;15;;246
CASENEUVE;84032;49;15;;;;;;;
CASTELLET;84033;9;;;;;;;;
CAUMONT-SUR-DURANCE;84034;642;126;;115;31;;;;31
CAVAILLON;84035;5173;1001;29;926;153;132;;14;214
CHATEAUNEUF-DE-GADAGNE;84036;434;80;;68;26;;;;32
CHATEAUNEUF-DU-PAPE;84037;298;51;;46;12;;;;13
CHEVAL-BLANC;84038;520;116;;102;36;;;;50
COURTHEZON;84039;869;177;;165;56;;;;53
CRESTET;84040;38;;;;;;;;
CRILLON-LE-BRAVE;84041;43;8;;;;;;;
CUCURON;84042;233;41;;36;10;;;;12
ENTRAIGUES-SUR-LA-SORGUE;84043;1403;314;5;267;121;104;;17;74
ENTRECHAUX;84044;151;29;;;6;;;;13
FAUCON;84045;54;10;;;;;;;
FLASSAN;84046;52;14;;;8;;;;
GARGAS;84047;334;63;;55;25;;;;7
GIGNAC;84048;9;;;;;;;;
GIGONDAS;84049;36;8;;;;;;;
GORDES;84050;197;29;;23;12;;;;7
GOULT;84051;147;27;;;7;;;;10
GRAMBOIS;84052;116;25;;;6;;;;7
GRILLON;84053;240;50;;45;19;;;;10
L'ISLE-SUR-LA-SORGUE;84054;3269;579;17;504;174;155;;15;134
JONQUERETTES;84055;164;46;;40;31;;;;8
JONQUIERES;84056;788;227;6;192;68;;;;69
JOUCAS;84057;34;6;;;;;;;
LACOSTE;84058;32;8;;;;;;;
LAFARE;84059;15;;;;;;;;
LAGARDE-D'APT;84060;5;;;;;;;;
LAGARDE-PAREOL;84061;39;8;;;;;;;
LAGNES;84062;176;29;;23;6;;;;5
LAMOTTE-DU-RHONE;84063;49;15;;;5;;;;
LAPALUD;84064;668;135;;113;46;;;;44
LAURIS;84065;519;90;;;28;;;;28
LIOUX;84066;26;8;;;;;;;
LORIOL-DU-COMTAT;84067;324;71;;63;22;;;;29
LOURMARIN;84068;158;23;;;9;;;;6
MALAUCENE;84069;448;81;;;12;;;;27
MALEMORT-DU-COMTAT;84070;231;61;;50;21;;;;18
MAUBEC;84071;245;46;;38;18;;;;18
MAZAN;84072;817;130;;111;49;43;5;;30
MENERBES;84073;105;24;;;10;;;;5
MERINDOL;84074;320;71;;58;17;;;;26
METHAMIS;84075;54;9;;;;;;;
MIRABEAU;84076;173;54;;;19;;;;12
MODENE;84077;63;16;;;6;;;;
MONDRAGON;84078;636;143;5;118;49;;;;29
MONIEUX;84079;38;5;;;;;;;
MONTEUX;84080;2025;431;7;379;138;129;;6;139
MORIERES-LES-AVIGNON;84081;1139;238;;198;87;72;;12;58
MORMOIRON;84082;289;52;;44;10;;;;9
MORNAS;84083;351;88;5;77;24;;;;21
LA MOTTE-D'AIGUES;84084;169;43;;38;10;;;;14
MURS;84085;38;6;;;;;;;
OPPEDE;84086;173;39;;32;12;;;;
ORANGE;84087;5765;1101;20;1003;242;233;6;;243
PERNES-LES-FONTAINES;84088;1489;254;6;213;96;90;;;58
PERTUIS;84089;3575;719;22;628;216;205;8;;166
PEYPIN-D'AIGUES;84090;80;14;;;;;;;
PIOLENC;84091;726;159;;145;49;;;;49
LE PONTET;84092;3155;694;22;628;125;113;;10;152
PUGET;84093;59;13;;;5;;;;5
PUYMERAS;84094;64;15;;;;;;;
PUYVERT;84095;103;20;;;7;;;;6
RASTEAU;84096;83;26;;;9;;;;
RICHERENCHES;84097;81;19;;;;;;;8
ROAIX;84098;85;21;;;;;;;10
ROBION;84099;630;139;;116;52;47;;;37
LA ROQUE-ALRIC;84100;6;;;;;;;;
LA ROQUE-SUR-PERNES;84101;42;6;;;;;;;
ROUSSILLON;84102;138;31;;25;9;;;;12
RUSTREL;84103;100;11;;;;;;;
SABLET;84104;165;32;;23;11;;;;10
SAIGNON;84105;109;14;;;;;;;
SAINTE-CECILE-LES-VIGNES;84106;338;65;;55;21;;;;15
SAINT-CHRISTOL;84107;132;16;;;;;;;
SAINT-DIDIER;84108;238;36;;30;9;;;;5
SAINT-HIPPOLYTE-LE-GRAVEYRON;84109;13;;;;;;;;
SAINT-LEGER-DU-VENTOUX;84110;5;;;;;;;;
SAINT-MARCELLIN-LES-VAISON;84111;43;7;;;;;;;
SAINT-MARTIN-DE-CASTILLON;84112;78;18;;;;;;;6
SAINT-MARTIN-DE-LA-BRASQUE;84113;107;22;;;9;;;;
SAINT-PANTALEON;84114;23;5;;;;;;;
SAINT-PIERRE-DE-VASSOLS;84115;68;17;;;5;;;;7
SAINT-ROMAIN-EN-VIENNOIS;84116;89;18;;;10;;;;7
SAINT-ROMAN-DE-MALEGARDE;84117;38;14;;8;;;;;
SAINT-SATURNIN-LES-APT;84118;332;53;;;19;;;;19
SAINT-SATURNIN-LES-AVIGNON;84119;660;123;;104;48;43;;;33
SAINT-TRINIT;84120;12;;;;;;;;
SANNES;84121;26;7;;;;;;;
SARRIANS;84122;835;184;;166;58;;;;57
SAULT;84123;210;25;;;;;;;9
SAUMANE-DE-VAUCLUSE;84124;118;21;;16;12;;;;
SAVOILLAN;84125;14;;;;;;;;
SEGURET;84126;95;19;;;11;;;;
SERIGNAN-DU-COMTAT;84127;347;73;;56;30;;;;17
SIVERGUES;84128;9;;;;;;;;
SORGUES;84129;3752;737;16;672;141;120;;19;180
SUZETTE;84130;5;;;;;;;;
TAILLADES;84131;187;33;;24;15;10;;5;5
LE THOR;84132;1335;268;5;221;116;100;;14;73
LA TOUR-D'AIGUES;84133;611;103;;87;32;;;;31
TRAVAILLAN;84134;83;27;;;12;;;;6
UCHAUX;84135;193;46;;32;23;;;;14
VACQUEYRAS;84136;165;39;;33;14;;;;9
VAISON-LA-ROMAINE;84137;1115;151;;139;33;;;;27
VALREAS;84138;1615;291;9;261;52;46;7;;71
FONTAINE-DE-VAUCLUSE;84139;117;10;;;;;;;
VAUGINES;84140;80;8;;;;;;;
VEDENE;84141;1770;425;8;348;169;146;;21;106
VELLERON;84142;405;69;;63;16;;;;19
VENASQUE;84143;119;16;;;5;;;;6
VIENS;84144;67;7;;;;;;;
VILLARS;84145;107;14;;;;;;;
VILLEDIEU;84146;69;9;;;;;;;
VILLELAURE;84147;486;118;6;93;44;;;;33
VILLES-SUR-AUZON;84148;183;32;;23;10;;;;12
VIOLES;84149;212;54;;49;18;;;;15
VISAN;84150;221;51;;;7;;;;16
VITROLLES-EN-LUBERON;84151;23;7;;;;;;;
L'AIGUILLON-SUR-MER;85001;225;27;;;15;;;;
L'AIGUILLON-SUR-VIE;85002;259;61;;53;38;;;;11
AIZENAY;85003;1443;382;8;313;254;234;9;17;110
ANGLES;85004;337;62;;51;33;;;;11
ANTIGNY;85005;130;29;;18;21;;;;
APREMONT;85006;253;72;;61;50;;;;16
AUBIGNY;85008;527;161;5;130;102;88;;11;51
AUZAY;85009;90;30;;23;25;;;;5
AVRILLE;85010;177;37;;31;23;;;;12
BARBATRE;85011;199;27;;22;9;;;;10
LA BARRE-DE-MONTS;85012;270;31;;26;20;15;;;
BAZOGES-EN-PAILLERS;85013;205;86;;74;64;;;;22
BAZOGES-EN-PAREDS;85014;161;52;;40;29;;;;11
BEAUFOU;85015;221;84;;70;57;51;;7;23
BEAULIEU-SOUS-LA-ROCHE;85016;331;96;;75;73;;;;18
BEAUREPAIRE;85017;369;119;;95;83;;;;38
BEAUVOIR-SUR-MER;85018;461;84;;68;48;;;;17
BELLEVILLE-SUR-VIE;85019;548;126;;93;84;70;;12;39
BENET;85020;596;132;;107;83;;;;35
LA BERNARDIERE;85021;270;87;;72;56;51;;;26
LE BERNARD;85022;168;38;;28;26;;;;7
BESSAY;85023;49;21;;;10;;;;6
BOIS-DE-CENE;85024;279;98;;76;57;;;;30
LA BOISSIERE-DE-MONTAIGU;85025;314;94;;68;70;;;;30
LA BOISSIERE-DES-LANDES;85026;199;56;;;33;;;;14
BOUFFERE;85027;502;169;;133;122;111;;12;55
BOUILLE-COURDAULT;85028;79;35;;30;23;;;;10
BOUIN;85029;294;47;;32;32;;;;7
BOULOGNE;85030;126;43;;38;30;;;;9
LE BOUPERE;85031;399;123;;100;78;69;;9;38
BOURNEAU;85033;104;27;;21;17;;;;8
BOURNEZEAU;85034;470;157;6;129;104;98;;6;42
BRETIGNOLLES-SUR-MER;85035;492;93;;75;45;;;;22
LA BRETONNIERE-LA-CLAYE;85036;73;17;;12;9;;;;5
BREUIL-BARRET;85037;72;17;;;9;;;;
LES BROUZILS;85038;389;132;;113;89;83;;5;41
LA BRUFFIERE;85039;603;191;;143;132;119;;11;48
LA CAILLERE-SAINT-HILAIRE;85040;150;27;;17;14;;;;7
CEZAIS;85041;36;8;;;;;;;
CHAILLE-LES-MARAIS;85042;326;73;;51;39;;;;14
CHAILLE-SOUS-LES-ORMEAUX;85043;192;74;;55;49;;;;25
CHAIX;85044;63;22;;17;14;;;;7
LA CHAIZE-GIRAUD;85045;149;39;;31;21;;;;10
LA CHAIZE-LE-VICOMTE;85046;605;169;;141;95;89;;;51
CHALLANS;85047;3239;525;6;430;275;243;;30;124
CHAMBRETAUD;85048;196;61;;55;45;;;;24
CHAMPAGNE-LES-MARAIS;85049;274;68;;49;37;;;;11
LE CHAMP-SAINT-PERE;85050;281;70;;58;44;;;;23
CHANTONNAY;85051;1338;270;;212;155;143;;11;68
LA CHAPELLE-ACHARD;85052;302;110;;94;77;68;;10;36
LA CHAPELLE-AUX-LYS;85053;25;6;;;;;;;
LA CHAPELLE-HERMIER;85054;134;38;;31;21;;;;13
LA CHAPELLE-PALLUAU;85055;127;36;;;24;;;;6
LA CHAPELLE-THEMER;85056;33;8;;;;;;;
CHASNAIS;85058;80;31;;23;24;;;;7
LA CHATAIGNERAIE;85059;526;59;;52;23;18;;;8
CHATEAU-D'OLONNE;85060;1750;254;8;199;142;120;;21;45
CHATEAU-GUIBERT;85061;226;53;;35;43;;;;10
CHATEAUNEUF;85062;148;56;;47;39;;;;20
LES CHATELLIERS-CHATEAUMUR;85063;107;46;;36;37;32;;5;13
CHAUCHE;85064;341;117;;97;91;;;;31
CHAVAGNES-EN-PAILLERS;85065;496;130;;100;100;;;;36
CHAVAGNES-LES-REDOUX;85066;103;34;;25;22;;;;11
CHEFFOIS;85067;125;43;;34;30;20;;7;17
LES CLOUZEAUX;85069;337;92;;77;52;;;;22
COEX;85070;456;103;;82;59;;;;26
COMMEQUIERS;85071;478;132;;109;84;71;;13;31
LA COPECHAGNIERE;85072;146;52;;45;35;;;;11
CORPE;85073;133;48;;41;34;;;;20
LA COUTURE;85074;29;12;;;;;;;
CUGAND;85076;467;126;;89;92;76;;14;29
CURZON;85077;58;16;;;5;;;;7
DAMVIX;85078;116;21;;;16;;;;
DOIX;85080;153;42;;34;23;;;;9
DOMPIERRE-SUR-YON;85081;646;164;;135;107;100;;7;50
LES EPESSES;85082;406;137;;118;107;97;;10;42
L'EPINE;85083;152;28;;;8;;;;8
LES ESSARTS;85084;934;231;;192;141;125;;12;77
FALLERON;85086;231;78;;69;44;;;;29
FAYMOREAU;85087;26;;;;;;;;
LE FENOUILLER;85088;489;116;;84;89;;;;26
LA FERRIERE;85089;742;212;;171;135;121;;12;54
LA FLOCELLIERE;85090;406;111;;93;76;66;;9;29
FONTAINES;85091;99;31;;25;22;;;;7
FONTENAY-LE-COMTE;85092;2838;300;6;240;146;140;5;;40
FOUGERE;85093;165;60;;52;50;;;;18
FOUSSAIS-PAYRE;85094;135;37;;30;27;;;;7
FROIDFOND;85095;300;103;5;90;69;;;;22
LA GARNACHE;85096;679;188;;153;124;117;;6;52
LA GAUBRETIERE;85097;430;138;;105;108;92;;12;46
LA GENETOUZE;85098;251;75;;62;45;;;;28
LE GIROUARD;85099;143;44;;35;28;;;;12
GIVRAND;85100;302;53;;38;30;;;;11
LE GIVRE;85101;66;13;;;7;;;;5
GRAND'LANDES;85102;101;33;;;17;;;;13
GROSBREUIL;85103;327;84;;70;48;43;;5;26
GRUES;85104;78;15;;;10;;;;
LE GUE-DE-VELLUIRE;85105;72;24;;;6;;;;5
LA GUERINIERE;85106;135;24;;;8;;;;5
LA GUYONNIERE;85107;416;98;;76;75;66;5;;26
L'HERBERGEMENT;85108;489;151;;124;112;99;;12;51
LES HERBIERS;85109;2502;535;12;437;297;244;;41;138
L'HERMENAULT;85110;239;18;;;8;;;;8
L'ILE-D'ELLE;85111;293;55;;43;34;;;;15
L'ILE-D'OLONNE;85112;397;76;;67;53;44;;10;21
L'ILE-D'YEU;85113;577;104;;83;43;;;;25
JARD-SUR-MER;85114;218;25;;;9;;;;5
LA JAUDONNIERE;85115;87;35;;27;25;;;;6
LA JONCHERE;85116;42;5;;;;;;;
LAIROUX;85117;71;22;;;12;;;;10
LANDERONDE;85118;320;89;;73;50;45;;5;25
LES LANDES-GENUSSON;85119;303;90;;64;67;;;;21
LANDEVIEILLE;85120;212;57;;44;39;;;;15
LE LANGON;85121;172;30;;20;22;;;;7
LIEZ;85123;46;13;;;;;;;
LOGE-FOUGEREUSE;85125;39;14;;;8;;;;5
LONGEVES;85126;182;55;;38;38;;;;17
LONGEVILLE-SUR-MER;85127;239;45;;36;21;;;;8
LUCON;85128;1739;174;6;135;78;;;;30
LES LUCS-SUR-BOULOGNE;85129;491;125;;98;78;;;;40
MACHE;85130;234;70;;50;50;;;;18
LES MAGNILS-REIGNIERS;85131;198;52;;40;33;;;;17
MAILLE;85132;103;27;;17;19;;;;10
MAILLEZAIS;85133;129;24;;;13;;;;8
MALLIEVRE;85134;33;11;;;;;;;
MAREUIL-SUR-LAY-DISSAIS;85135;397;97;;79;56;47;;8;25
MARILLET;85136;11;;;;;;;;
MARSAIS-SAINTE-RADEGONDE;85137;55;18;;;10;;;;8
MARTINET;85138;168;50;;43;34;;;;13
LE MAZEAU;85139;56;13;;;7;;;;
LA MEILLERAIE-TILLAY;85140;207;62;;51;34;;;;17
MENOMBLET;85141;90;20;;;12;;;;
LA MERLATIERE;85142;147;47;;36;32;;;;15
MERVENT;85143;141;36;;27;13;;;;8
MESNARD-LA-BAROTIERE;85144;202;73;;57;55;;;;17
MONSIREIGNE;85145;142;54;;37;40;;;;13
MONTAIGU;85146;1062;168;;131;80;71;;6;31
MONTOURNAIS;85147;210;61;;48;40;;;;16
MONTREUIL;85148;106;30;;;19;;;;6
MOREILLES;85149;74;21;;15;13;;;;
MORMAISON;85150;140;62;;53;45;;;;16
MORTAGNE-SUR-SEVRE;85151;932;198;7;153;122;113;;9;50
LA MOTHE-ACHARD;85152;482;123;;101;80;70;;9;34
MOUCHAMPS;85153;382;118;;98;84;;;;41
MOUILLERON-EN-PAREDS;85154;204;50;;41;24;;;;15
MOUILLERON-LE-CAPTIF;85155;646;140;;115;86;78;;9;46
MOUTIERS-LES-MAUXFAITS;85156;323;62;;51;38;;;;19
MOUTIERS-SUR-LE-LAY;85157;89;29;;18;20;;;;
MOUZEUIL-SAINT-MARTIN;85158;176;58;;48;34;;;;15
NALLIERS;85159;322;88;;75;41;;;;29
NESMY;85160;443;122;;103;74;66;;8;34
NIEUL-LE-DOLENT;85161;331;90;;75;53;48;;;22
NIEUL-SUR-L'AUTISE;85162;196;54;;44;34;;;;12
NOIRMOUTIER-EN-L'ILE;85163;529;78;;66;18;13;;;19
NOTRE-DAME-DE-MONTS;85164;266;42;;36;28;;;;10
L'OIE;85165;167;67;;52;45;36;;9;17
OLONNE-SUR-MER;85166;2131;346;9;276;182;145;;30;80
L'ORBRIE;85167;101;25;;20;;;;;
OULMES;85168;121;32;;25;16;;;;7
PALLUAU;85169;197;50;5;39;28;;;;12
PEAULT;85171;90;32;;24;24;;;;8
LE PERRIER;85172;257;65;;52;41;35;;5;19
PETOSSE;85174;104;37;;30;22;;;;8
LES PINEAUX;85175;92;36;;30;24;;;;13
PISSOTTE;85176;145;26;;19;20;;;;6
LE POIRE-SUR-VELLUIRE;85177;91;28;;;16;;;;9
LE POIRE-SUR-VIE;85178;1300;351;9;303;206;197;;9;122
POIROUX;85179;146;40;;;27;;;;10
LA POMMERAIE-SUR-SEVRE;85180;127;27;;21;16;;;;
POUILLE;85181;81;20;;14;15;;;;
POUZAUGES;85182;933;166;;143;83;;;;48
PUY-DE-SERRE;85184;40;13;;;7;;;;
PUYRAVAULT;85185;102;23;;16;16;;;;
LA RABATELIERE;85186;128;48;;39;34;;;;18
REAUMUR;85187;100;28;;19;20;;;;6
LA REORTHE;85188;142;56;;45;35;;;;14
NOTRE-DAME-DE-RIEZ;85189;268;63;;53;35;;;;15
ROCHESERVIERE;85190;524;156;;121;114;101;;9;51
LA ROCHE-SUR-YON;85191;12417;1528;22;1308;541;459;;49;317
ROCHETREJOUX;85192;127;45;;39;29;;;;15
ROSNAY;85193;82;24;;18;15;;;;5
LES SABLES-D'OLONNE;85194;2362;192;;156;90;70;;16;45
SAINT-ANDRE-GOULE-D'OIE;85196;262;93;;73;70;;;;20
SAINT-ANDRE-TREIZE-VOIES;85197;203;88;;65;61;;;;25
SAINT-AUBIN-DES-ORMEAUX;85198;176;69;;49;49;;;;22
SAINT-AUBIN-LA-PLAINE;85199;81;28;;;12;;;;6
SAINT-AVAUGOURD-DES-LANDES;85200;156;51;;42;34;;;;10
SAINT-BENOIST-SUR-MER;85201;47;11;;;6;;;;
SAINTE-CECILE;85202;235;65;;54;37;;;;23
SAINT-CHRISTOPHE-DU-LIGNERON;85204;393;123;;98;88;83;;;31
SAINT-CYR-DES-GATS;85205;67;19;;;12;;;;7
SAINT-CYR-EN-TALMONDAIS;85206;45;7;;;;;;;
SAINT-DENIS-DU-PAYRE;85207;40;7;;;;;;;
SAINT-DENIS-LA-CHEVASSE;85208;349;107;;84;78;70;;8;34
SAINT-ETIENNE-DE-BRILLOUET;85209;91;33;;24;18;;;;8
SAINT-ETIENNE-DU-BOIS;85210;323;97;;69;64;;;;19
SAINTE-FLAIVE-DES-LOUPS;85211;362;106;;87;79;;;;30
SAINTE-FLORENCE;85212;179;69;;53;52;37;;16;14
SAINT-FLORENT-DES-BOIS;85213;393;99;;85;53;;;;31
SAINTE-FOY;85214;281;77;;65;49;37;;13;23
SAINT-FULGENT;85215;574;166;7;136;102;95;;6;37
SAINTE-GEMME-LA-PLAINE;85216;290;80;;60;56;;;;16
SAINT-GEORGES-DE-MONTAIGU;85217;610;187;7;137;119;108;;6;57
SAINT-GEORGES-DE-POINTINDOUX;85218;223;59;;50;42;;;;21
SAINT-GERMAIN-L'AIGUILLER;85219;60;23;;;17;;;;
SAINT-GERMAIN-DE-PRINCAY;85220;231;56;;47;30;;;;18
SAINT-GERVAIS;85221;328;99;;76;67;;;;23
SAINT-GILLES-CROIX-DE-VIE;85222;1134;140;;116;75;;;;33
SAINTE-HERMINE;85223;460;114;;95;55;;;;26
SAINT-HILAIRE-DE-LOULAY;85224;705;196;;152;147;136;;8;62
SAINT-HILAIRE-DE-RIEZ;85226;1276;212;;170;109;101;;;51
SAINT-HILAIRE-DES-LOGES;85227;303;65;;48;43;;;;16
SAINT-HILAIRE-DE-VOUST;85229;76;19;;;13;;;;9
SAINT-HILAIRE-LA-FORET;85231;99;25;;19;15;;;;
SAINT-HILAIRE-LE-VOUHIS;85232;171;57;;46;43;;;;19
SAINT-JEAN-DE-BEUGNE;85233;81;34;;26;21;;;;11
SAINT-JEAN-DE-MONTS;85234;1208;174;6;142;67;62;;5;44
